ID,TYPE,MODEL,BATTERY,BATTERYLIFE,HARDDISK,HARDDISKLIFE,PROCESSOR,PROCESSORLIFE,COOLINGFAN,COOLINGFANLIFE,sum,dailyuse
1410110847,Gaming,G1,5000,13,6000,21,5200,20,500,28,82,6
1610110282,Home,H2,3500,31,4500,40,3200,28,400,28,127,4
1610110283,Home,H3,4500,38,5500,38,4300,37,550,40,153,3
1610110284,Office,O3,4500,37,6500,27,5500,30,600,41,135,4
1410111629,Gaming,G1,5000,8,6000,52,5200,17,500,25,102,5
1610110286,Home,H3,4500,45,5500,8,4300,40,550,37,130,4
1610110287,Home,H1,2500,17,3000,42,2200,30,300,26,115,4
1610110288,Office,O1,3000,14,4000,48,3700,23,350,16,101,5
1610110289,Office,O2,3800,28,5000,17,4400,21,450,24,90,6
1610110290,Home,H3,4500,48,5500,48,4300,38,550,33,167,3
1610110291,Home,H3,4500,42,5500,46,4300,34,550,47,169,3
1410112870,Gaming,G1,5000,15,6000,9,5200,13,500,29,66,8
1610110293,Office,O3,4500,42,6500,30,5500,28,600,35,135,4
1610110294,Home,H3,4500,49,5500,43,4300,33,550,44,169,3
1610110295,Office,O1,3000,14,4000,13,3700,21,350,21,69,7
1610110296,Student,S1,1500,11,4500,16,2500,13,350,29,69,7
1610110297,Office,O3,4500,36,6500,29,5500,34,600,29,128,4
1410115144,Gaming,G1,5000,6,6000,9,5200,16,500,35,66,8
1610110299,Office,O2,3800,35,5000,18,4400,27,450,28,108,5
1610110300,Office,O3,4500,40,6500,26,5500,30,600,36,132,4
1310111197,Gaming,G1,5000,12,6000,7,5200,21,500,25,65,8
1610110302,Home,H2,3500,32,4500,34,3200,31,400,32,129,4
1610110303,Student,S3,3500,33,8000,33,4150,30,600,40,136,4
1310111737,Gaming,G1,5000,7,6000,7,5200,17,500,27,58,9
1310112547,Gaming,G1,5000,7,6000,8,5200,16,500,22,53,9
1310114301,Gaming,G1,5000,10,6000,9,5200,18,500,28,65,8
1610110307,Office,O2,3800,38,5000,21,4400,21,450,27,107,5
1610110308,Office,O3,4500,45,6500,34,5500,29,600,39,147,3
1610110309,Student,S3,3500,38,8000,43,4150,25,600,33,139,4
1210110653,Gaming,G1,5000,9,6000,8,5200,17,500,23,57,9
1610110311,Home,H3,4500,48,5500,44,4300,39,550,45,176,3
1210110934,Gaming,G1,5000,14,6000,7,5200,17,500,29,67,7
1610110313,Office,O2,3800,24,5000,23,4400,21,450,28,96,5
1610110314,Home,H2,3500,38,4500,38,3200,29,400,31,136,4
1210113836,Gaming,G1,5000,10,6000,10,5200,18,500,25,63,8
1210114009,Gaming,G1,5000,2,6000,12,5200,19,500,30,63,8
1210114279,Gaming,G1,5000,5,6000,11,5200,18,500,26,60,8
1610110318,Home,H1,2500,14,3000,25,2200,26,300,20,85,6
1610110319,Office,O2,3800,30,5000,13,4400,21,450,28,92,5
1610110320,Student,S2,2500,22,7000,19,3500,17,500,30,88,6
1210117035,Gaming,G1,5000,12,6000,12,5200,20,500,26,70,7
1610110322,Office,O3,4500,42,6500,44,5500,32,600,37,155,3
1110110148,Gaming,G1,5000,16,6000,45,5200,17,500,24,102,5
1610110324,Student,S1,1500,12,4500,51,2500,14,350,24,101,5
1610110325,Home,H2,3500,33,4500,45,3200,27,400,29,134,4
1610110326,Home,H1,2500,18,3000,33,2200,28,300,30,109,5
1610110327,Student,S1,1500,11,4500,52,2500,17,350,27,107,5
1610110328,Student,S2,2500,21,7000,30,3500,18,500,30,99,5
1110112761,Gaming,G1,5000,7,6000,16,5200,23,500,28,74,7
1110114586,Gaming,G1,5000,7,6000,19,5200,21,500,25,72,7
1110117480,Gaming,G1,5000,8,6000,20,5200,20,500,25,73,7
1610110332,Home,H2,3500,33,4500,22,3200,32,400,35,122,4
1110121403,Gaming,G1,5000,13,6000,42,5200,18,500,27,100,5
1610110334,Office,O1,3000,14,4000,28,3700,25,350,24,91,5
1610110335,Home,H3,4500,46,5500,49,4300,32,550,34,161,3
1610110337,Gaming,G1,5000,6,6000,49,5200,19,500,27,101,5
1610113683,Gaming,G1,5000,10,6000,24,5200,18,500,28,80,6
1610110338,Office,O2,3800,36,5000,16,4400,25,450,26,103,5
1610110339,Office,O1,3000,15,4000,46,3700,19,350,21,101,5
1610110340,Office,O2,3800,32,5000,36,4400,21,450,31,120,4
1610116286,Gaming,G1,5000,12,6000,42,5200,22,500,24,100,5
1610110342,Office,O3,4500,47,6500,17,5500,26,600,32,122,4
1610110343,Student,S1,1500,13,4500,42,2500,15,350,23,93,5
1610117866,Gaming,G1,5000,10,6000,36,5200,16,500,31,93,5
1610118428,Gaming,G1,5000,10,6000,16,5200,21,500,26,73,7
1610110346,Student,S2,2500,25,7000,16,3500,21,500,30,92,5
1610110347,Student,S2,2500,28,7000,14,3500,20,500,29,91,5
1610110348,Home,H3,4500,51,5500,40,4300,38,550,31,160,3
1610110349,Home,H3,4500,51,5500,50,4300,31,550,36,168,3
1610110350,Home,H1,2500,16,3000,36,2200,24,300,30,106,5
1610110351,Home,H1,2500,14,3000,14,2200,23,300,25,76,7
1610119252,Gaming,G1,5000,11,6000,46,5200,19,500,28,104,5
1510111932,Gaming,G1,5000,11,6000,22,5200,18,500,28,79,6
1610110354,Student,S1,1500,8,4500,10,2500,16,350,22,56,9
1610110355,Office,O1,3000,17,4000,36,3700,23,350,22,98,5
1610110356,Student,S3,3500,38,8000,27,4150,26,600,37,128,4
1610110357,Home,H3,4500,49,5500,49,4300,37,550,36,171,3
1610110358,Home,H1,2500,16,3000,26,2200,32,300,29,103,5
1610110359,Office,O1,3000,14,4000,24,3700,21,350,24,83,6
1610110360,Home,H3,4500,47,5500,10,4300,41,550,42,140,4
1610110361,Student,S3,3500,35,8000,50,4150,26,600,39,150,3
1610110362,Office,O2,3800,29,5000,27,4400,18,450,33,107,5
1610110363,Office,O3,4500,37,6500,14,5500,33,600,42,126,4
1610110364,Home,H1,2500,13,3000,48,2200,22,300,28,111,5
1610110365,Office,O3,4500,40,6500,26,5500,29,600,39,134,4
1510112573,Gaming,G1,5000,13,6000,30,5200,19,500,33,95,5
1510115592,Gaming,G1,5000,12,6000,32,5200,17,500,29,90,6
1510117949,Gaming,G1,5000,7,6000,26,5200,21,500,25,79,6
1610110369,Student,S2,2500,26,7000,38,3500,22,500,25,111,5
1610110370,Office,O1,3000,14,4000,52,3700,22,350,22,110,5
1510118950,Gaming,G1,5000,7,6000,15,5200,16,500,29,67,7
1610110372,Home,H2,3500,38,4500,10,3200,38,400,26,112,4
1610110373,Home,H2,3500,33,4500,18,3200,34,400,39,124,4
1610110374,Office,O3,4500,37,6500,43,5500,25,600,36,141,4
1610110375,Office,O1,3000,11,4000,41,3700,19,350,21,92,5
1610110376,Student,S3,3500,31,8000,45,4150,28,600,31,135,4
1610110377,Home,H2,3500,36,4500,8,3200,36,400,38,118,4
1610110378,Home,H1,2500,15,3000,49,2200,33,300,26,123,4
1610110379,Office,O1,3000,14,4000,10,3700,23,350,21,68,7
1610110380,Student,S1,1500,10,4500,14,2500,15,350,25,64,8
1610110381,Home,H3,4500,50,5500,22,4300,40,550,46,158,3
1510120995,Gaming,G1,5000,9,6000,21,5200,16,500,24,70,7
1610110383,Office,O2,3800,30,5000,53,4400,25,450,29,137,4
1610110384,Office,O3,4500,39,6500,13,5500,30,600,29,111,5
1610110385,Home,H3,4500,51,5500,44,4300,41,550,48,184,3
1610110386,Home,H3,4500,39,5500,10,4300,37,550,39,125,4
1410112143,Gaming,G1,5000,5,6000,24,5200,20,500,30,79,6
1610110388,Home,H3,4500,41,5500,29,4300,37,550,37,144,3
1610110389,Home,H3,4500,50,5500,7,4300,34,550,38,129,4
1610110390,Home,H2,3500,40,4500,37,3200,31,400,28,136,4
1410112647,Gaming,G1,5000,10,6000,52,5200,20,500,23,105,5
1410115509,Gaming,G1,5000,10,6000,36,5200,14,500,28,88,6
1410117079,Gaming,G1,5000,10,6000,26,5200,19,500,24,79,6
1610110394,Home,H1,2500,16,3000,50,2200,28,300,25,119,4
1410117990,Gaming,G1,5000,6,6000,21,5200,19,500,29,75,7
1610110396,Student,S2,2500,23,7000,33,3500,16,500,29,101,5
1610110397,Office,O1,3000,14,4000,19,3700,22,350,16,71,7
1610110398,Student,S1,1500,13,4500,16,2500,12,350,25,66,8
1610110399,Office,O1,3000,13,4000,48,3700,22,350,21,104,5
1410118409,Gaming,G1,5000,5,6000,41,5200,17,500,30,93,5
